Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers, Fav Tech, Combat Desire
1, 4, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 5, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 6, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 7, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 8, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 9, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 10, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 11, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 12, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 13, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 14, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 15, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 16, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 17, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
1, 0, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 1, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 2, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 3, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
2, 4, 48, 0, 0, 3:0, 1:1, NO_TECH, 0.0
2, 5, 35, 0, 0, 2:0, 2:1, NO_TECH, 0.0
2, 6, 40, 0, 0, 3:0, 1:1, NO_TECH, 0.0
2, 7, 40, 0, 0, 3:0, 1:1, NO_TECH, 0.0
2, 8, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 9, 55, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 12, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
