Game Turn, Player, Action, Tech, Score, Boost, Turns
1, 4, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 4, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 4, Tech, TECH_MINING, 60.3, , 12
1, 4, Tech, TECH_SAILING, 32.3, , 25
1, 4, Tech, TECH_ASTROLOGY, 76.7, BOOSTED, 25
1, 4, Tech, TECH_IRRIGATION, 89.8, , 37
1, 4, Tech, TECH_ARCHERY, 71.7, BOOSTED, 37
1, 4, Tech, TECH_WRITING, 144.8, GOAL, 37
1, 4, Tech, TECH_MASONRY, -9938.8, , 52
1, 4, Tech, TECH_BRONZE_WORKING, -14908.1, , 52
1, 4, Tech, TECH_THE_WHEEL, -9938.8, BOOSTED, 52
1, 4, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 4, Tech, TECH_CURRENCY, -14853.7, , 115
1, 4, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 4, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 4, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 4, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 5, Tech, TECH_POTTERY, 117.5, RESEARCHING, 12
1, 5, Tech, TECH_ANIMAL_HUSBANDRY, 90.4, , 12
1, 5, Tech, TECH_MINING, 60.3, , 12
1, 5, Tech, TECH_SAILING, 32.3, , 25
1, 5, Tech, TECH_ASTROLOGY, 51.1, BOOSTED, 25
1, 5, Tech, TECH_IRRIGATION, 89.8, , 37
1, 5, Tech, TECH_ARCHERY, 71.7, BOOSTED, 37
1, 5, Tech, TECH_WRITING, 96.5, BOOSTED, 37
1, 5, Tech, TECH_MASONRY, -9938.8, BOOSTED, 52
1, 5, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 5, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 5, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 5, Tech, TECH_CURRENCY, -14853.7, , 115
1, 5, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 5, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 5, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 5, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 6, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 6, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 6, Tech, TECH_MINING, 60.3, , 12
1, 6, Tech, TECH_SAILING, 32.3, , 25
1, 6, Tech, TECH_ASTROLOGY, 51.1, BOOSTED, 25
1, 6, Tech, TECH_IRRIGATION, 89.8, BOOSTED, 37
1, 6, Tech, TECH_ARCHERY, 71.7, , 37
1, 6, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 6, Tech, TECH_MASONRY, -9938.8, BOOSTED, 52
1, 6, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 6, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 6, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 6, Tech, TECH_CURRENCY, -14853.7, , 115
1, 6, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 6, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 6, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 6, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 7, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 7, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 7, Tech, TECH_MINING, 60.3, , 12
1, 7, Tech, TECH_SAILING, 32.3, , 25
1, 7, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 7, Tech, TECH_IRRIGATION, 89.8, , 37
1, 7, Tech, TECH_ARCHERY, 71.7, BOOSTED, 37
1, 7, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 7, Tech, TECH_MASONRY, -9938.8, BOOSTED, 52
1, 7, Tech, TECH_BRONZE_WORKING, -9938.8, BOOSTED, 52
1, 7, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 7, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 7, Tech, TECH_CURRENCY, -14853.7, , 115
1, 7, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 7, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 7, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 7, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 8, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 8, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 8, Tech, TECH_MINING, 60.3, , 12
1, 8, Tech, TECH_SAILING, 32.3, , 25
1, 8, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 8, Tech, TECH_IRRIGATION, 89.8, , 37
1, 8, Tech, TECH_ARCHERY, 71.7, , 37
1, 8, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 8, Tech, TECH_MASONRY, -9938.8, , 52
1, 8, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 8, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 8, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 8, Tech, TECH_CURRENCY, -9902.5, , 115
1, 8, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 8, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 8, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 8, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 9, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 9, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 9, Tech, TECH_MINING, 60.3, , 12
1, 9, Tech, TECH_SAILING, 32.3, , 25
1, 9, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 9, Tech, TECH_IRRIGATION, 89.8, , 37
1, 9, Tech, TECH_ARCHERY, 71.7, , 37
1, 9, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 9, Tech, TECH_MASONRY, -9938.8, , 52
1, 9, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 9, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 9, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 9, Tech, TECH_CURRENCY, -9902.5, , 115
1, 9, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 9, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 9, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 9, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 10, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 10, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 10, Tech, TECH_MINING, 60.3, , 12
1, 10, Tech, TECH_SAILING, 32.3, , 25
1, 10, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 10, Tech, TECH_IRRIGATION, 89.8, , 37
1, 10, Tech, TECH_ARCHERY, 71.7, , 37
1, 10, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 10, Tech, TECH_MASONRY, -9938.8, , 52
1, 10, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 10, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 10, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 10, Tech, TECH_CURRENCY, -9902.5, , 115
1, 10, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 10, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 10, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 10, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 11, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 11, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 11, Tech, TECH_MINING, 60.3, , 12
1, 11, Tech, TECH_SAILING, 32.3, , 25
1, 11, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 11, Tech, TECH_IRRIGATION, 89.8, , 37
1, 11, Tech, TECH_ARCHERY, 71.7, , 37
1, 11, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 11, Tech, TECH_MASONRY, -9938.8, , 52
1, 11, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 11, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 11, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 11, Tech, TECH_CURRENCY, -9902.5, , 115
1, 11, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 11, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 11, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 11, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 12, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 12, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 12, Tech, TECH_MINING, 60.3, , 12
1, 12, Tech, TECH_SAILING, 32.3, , 25
1, 12, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 12, Tech, TECH_IRRIGATION, 89.8, , 37
1, 12, Tech, TECH_ARCHERY, 71.7, , 37
1, 12, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 12, Tech, TECH_MASONRY, -9938.8, , 52
1, 12, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 12, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 12, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 12, Tech, TECH_CURRENCY, -9902.5, , 115
1, 12, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 12, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 12, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 12, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 13, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 13, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 13, Tech, TECH_MINING, 60.3, , 12
1, 13, Tech, TECH_SAILING, 32.3, , 25
1, 13, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 13, Tech, TECH_IRRIGATION, 89.8, , 37
1, 13, Tech, TECH_ARCHERY, 71.7, , 37
1, 13, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 13, Tech, TECH_MASONRY, -9938.8, , 52
1, 13, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 13, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 13, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 13, Tech, TECH_CURRENCY, -9902.5, , 115
1, 13, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 13, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 13, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 13, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 14, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 14, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 14, Tech, TECH_MINING, 60.3, , 12
1, 14, Tech, TECH_SAILING, 32.3, , 25
1, 14, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 14, Tech, TECH_IRRIGATION, 89.8, , 37
1, 14, Tech, TECH_ARCHERY, 71.7, , 37
1, 14, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 14, Tech, TECH_MASONRY, -9938.8, , 52
1, 14, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 14, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 14, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 14, Tech, TECH_CURRENCY, -9902.5, , 115
1, 14, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 14, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 14, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 14, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 15, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 15, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 15, Tech, TECH_MINING, 60.3, , 12
1, 15, Tech, TECH_SAILING, 32.3, , 25
1, 15, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 15, Tech, TECH_IRRIGATION, 89.8, , 37
1, 15, Tech, TECH_ARCHERY, 71.7, , 37
1, 15, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 15, Tech, TECH_MASONRY, -9938.8, , 52
1, 15, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 15, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 15, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 15, Tech, TECH_CURRENCY, -9902.5, , 115
1, 15, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 15, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 15, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 15, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 16, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 16, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 16, Tech, TECH_MINING, 60.3, , 12
1, 16, Tech, TECH_SAILING, 32.3, , 25
1, 16, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 16, Tech, TECH_IRRIGATION, 89.8, , 37
1, 16, Tech, TECH_ARCHERY, 71.7, , 37
1, 16, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 16, Tech, TECH_MASONRY, -9938.8, , 52
1, 16, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 16, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 16, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 16, Tech, TECH_CURRENCY, -9902.5, , 115
1, 16, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 16, Tech, TECH_IRON_WORKING, -9938.8, , 130
