Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
1, 4, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 4, HL: Explore, , , UNIT_AZTEC_EAGLE_WARRIOR (131073), Move To: 48 63
1, 4, HL: End Turn, , , UNIT_AZTEC_EAGLE_WARRIOR (131073)
1, 5, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 6, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 7, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 8, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 8, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 8, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 9, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 9, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 9, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 10, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 10, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 10, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 11, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 11, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 11, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 12, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 12, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 12, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 13, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 13, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 13, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 14, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 14, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 14, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 15, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 15, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 15, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 16, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 16, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 16, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 17, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 17, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 17, HL: End Turn, , , UNIT_WARRIOR (196610)
2, 5, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_CREE_OKIHTCITAW (262147), Available Units: 1
2, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 56 37
2, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 55 36
2, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 64 3
2, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 2
2, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 57 63
2, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 57 66
2, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 70 13
2, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 69 11
2, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 24 24
2, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 25 23
2, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 41 49
2, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 40 51
2, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 55 26
2, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 55 28
2, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 46 34
2, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 44 34
2, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 14 16
2, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 13 16
2, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 10 57
2, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 11 56
3, 5, Promote, , , UNIT_CREE_OKIHTCITAW (262147), 
3, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 55 38
3, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 56 37
3, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 65 4
3, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 1
3, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 56 64
3, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 57 65
3, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 70 14
3, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 70 13
3, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 22 25
3, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 26 24
3, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 42 48
3, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 41 52
3, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 53 26
3, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 55 27
3, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 46 33
3, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 44 33
3, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 15 14
3, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 14 16
3, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 11 58
3, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 9 55
4, 5, Wander, , , UNIT_WARRIOR (131073), Move To: 63 46
4, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 55 39
4, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 56 36
4, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 64 5
4, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 2
4, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 57 62
4, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 57 66
4, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 70 15
4, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 72 14
4, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 22 26
4, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 25 25
4, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 41 47
4, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 41 51
4, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 55 26
4, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 54 27
4, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 47 35
4, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 45 34
4, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 16 14
4, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 15 16
4, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 12 58
4, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 10 57
5, 5, Support Formation, , , UNIT_WARRIOR (131073), 60 48
5, 5, Support Formation, , , UNIT_CREE_OKIHTCITAW (262147), 60 48
5, 5, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
5, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 57 38
5, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 57 37
5, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 65 4
5, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 3
5, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 56 61
5, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 57 65
5, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 71 15
5, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 70 13
5, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 23 25
5, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 26 24
5, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 41 49
5, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 40 53
5, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 55 28
5, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 54 28
5, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 47 34
5, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 43 35
5, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 15 14
5, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 14 15
5, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 12 56
5, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 9 57
6, 4, HL: End Turn, , , UNIT_BUILDER (524290)
6, 4, HL: End Turn, , , UNIT_SCOUT (458757)
6, 5, Promote, , , UNIT_CREE_OKIHTCITAW (589831), 
6, 5, Wander, , , UNIT_VAMPIRE (393220), Move To: 61 48
6, 5, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
6, 5, HL: End Turn, , , UNIT_BUILDER (458757)
6, 6, Wander, , , UNIT_WARRIOR (458757), Move To: 63 33
6, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 57 39
6, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 55 37
6, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 65 5
6, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 1
6, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 55 63
6, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 56 66
6, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 71 16
6, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 69 11
6, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 22 24
6, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 25 23
