Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
001, LOC_CIVILIZATION_AZTEC_NAME, UNIT_SETTLER (65536), 49, 61, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 48, 61, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 48, 61, -9999, -9999, 2368, ffffffff
001, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 48, 61, 48, 63, 320, e42f5300
001, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 61, 45, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_CREE_NAME, UNIT_SETTLER (65536), 62, 45, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_CREE_NAME, UNIT_SETTLER (65536), 62, 45, 61, 44, 256, cee9681d
001, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 61, 45, 49, 65, 256, 68ed3ec7
001, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 33, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_MALI_NAME, UNIT_SETTLER (65536), 66, 33, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_MALI_NAME, UNIT_SETTLER (65536), 66, 33, 64, 33, 256, 8093773b
001, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 33, 59, 46, 256, e49f2445
001, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 34, 49, 65, 0,  c5c908b
001, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 49, 15, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SETTLER (65536), 50, 15, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 49, 15, 59, 46, 256, 2da3e4e4
001, LOC_CIVILIZATION_KABUL_NAME, UNIT_SETTLER (65536), 55, 35, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (131073), 55, 36, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (196610), 55, 34, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_SETTLER (65536), 64, 1, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (131073), 64, 2, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (196610), 64, 1, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_SETTLER (65536), 58, 65, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (131073), 57, 65, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (196610), 58, 64, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (131073), 70, 14, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_GENEVA_NAME, UNIT_SETTLER (65536), 70, 13, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (196610), 70, 12, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_SETTLER (65536), 25, 23, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (131073), 24, 23, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (196610), 26, 24, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_LAHORE_NAME, UNIT_SETTLER (65536), 41, 49, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_LAHORE_NAME, UNIT_WARRIOR (131073), 40, 49, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_LAHORE_NAME, UNIT_WARRIOR (196610), 41, 50, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_CHINGUETTI_NAME, UNIT_SETTLER (65536), 54, 27, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_CHINGUETTI_NAME, UNIT_WARRIOR (131073), 54, 28, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_CHINGUETTI_NAME, UNIT_WARRIOR (196610), 54, 26, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_HATTUSA_NAME, UNIT_WARRIOR (131073), 44, 34, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_HATTUSA_NAME, UNIT_SETTLER (65536), 45, 34, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_HATTUSA_NAME, UNIT_WARRIOR (196610), 44, 33, -9999, -9999, 2325, ffffffff
