Game Turn, From, To, Initiator, Type, SubType, Message
4, 3, 1, 3, MAKE_DEAL, NONE, INITIAL, Processing Statement
4, 3, 1, 3, MAKE_DEAL, NONE, INITIAL, Notification sent; closing local session
4, 3, 1, 3, MAKE_DEAL, NONE, 00000000, Processing Statement
4, 3, 1, 3, MAKE_DEAL, NONE, 00000000, Notification sent; closing local session
4, 3, 1, 3, MAKE_DEAL, NONE, 00000000, Restoring Session
4, 1, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
4, 1, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
4, 1, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
4, 1, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
4, 3, 1, ?, ?, ?, ?, Closing Session
6, 4, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
6, 4, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
6, 4, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
6, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
6, 5, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
6, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
6, 6, 4, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
6, 6, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
6, 6, 7, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 5, 4, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 5, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 5, 7, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
