Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
1, 0, 1, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 0,  1, 对您的第一印象, Deactivate
1, 0, 1, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 1, 0, 对您的第一印象, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
1, 1,  0, 对您的第一印象, Deactivate
1, 1, 0, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 0, 2, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 2, 0, 对您的第一印象, Activate,   -4.0,   -4.0,    1.0, 0, 10,    1.0
1, 2,  0, 对您的第一印象, Deactivate
1, 2, 0, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 0, 3, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 3, 0, 对您的第一印象, Activate,    2.0,    2.0,    1.0, 0, 10,    1.0
1, 3,  0, 对您的第一印象, Deactivate
1, 3, 0, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 1, 2, 对您的第一印象, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
1, 1,  2, 对您的第一印象, Deactivate
1, 1, 2, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 2, 1, 对您的第一印象, Activate,    2.0,    2.0,    1.0, 0, 10,    1.0
1, 2,  1, 对您的第一印象, Deactivate
1, 2, 1, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 1, 3, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 1,  3, 对您的第一印象, Deactivate
1, 1, 3, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 3, 1, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 3,  1, 对您的第一印象, Deactivate
1, 3, 1, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 2, 3, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 2,  3, 对您的第一印象, Deactivate
