Game Turn, Player, Boosted System, Progress
1, 0, CIVIC_FOREIGN_TRADE, Unstarted
1, 2, CIVIC_FOREIGN_TRADE, Unstarted
1, 3, CIVIC_FOREIGN_TRADE, Unstarted
1, 10, CIVIC_FOREIGN_TRADE, Unstarted
1, 11, CIVIC_FOREIGN_TRADE, Unstarted
1, 14, CIVIC_FOREIGN_TRADE, Unstarted
1, 0, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 1, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 1, CIVIC_FOREIGN_TRADE, Unstarted
1, 0, TECH_WRITING, Unstarted
1, 1, TECH_WRITING, Unstarted
1, 2, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 2, TECH_WRITING, Unstarted
1, 3, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 3, TECH_WRITING, Unstarted
1, 4, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 5, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 5, TECH_WRITING, Unstarted
1, 4, TECH_WRITING, Unstarted
1, 6, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 6, TECH_WRITING, Unstarted
1, 7, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 7, CIVIC_FOREIGN_TRADE, Unstarted
1, 7, TECH_WRITING, Unstarted
1, 8, TECH_SAILING, Unstarted
1, 9, TECH_SAILING, Unstarted
1, 10, TECH_SAILING, Unstarted
1, 11, TECH_SAILING, Unstarted
1, 12, TECH_SAILING, Unstarted
1, 13, CIVIC_FOREIGN_TRADE, Unstarted
1, 13, TECH_SAILING, Unstarted
1, 14, TECH_SAILING, Unstarted
1, 15, TECH_SAILING, Unstarted
1, 17, TECH_SAILING, Unstarted
3, 5, TECH_BRONZE_WORKING, Unstarted
3, 16, CIVIC_FOREIGN_TRADE, Unstarted
3, 1, TECH_ASTROLOGY, Unstarted
3, 0, TECH_ASTROLOGY, Unstarted
3, 2, TECH_ASTROLOGY, Unstarted
3, 3, TECH_ASTROLOGY, Unstarted
4, 12, CIVIC_FOREIGN_TRADE, Unstarted
4, 3, TECH_BRONZE_WORKING, Unstarted
5, 4, TECH_BRONZE_WORKING, Unstarted
5, 6, TECH_BRONZE_WORKING, Unstarted
5, 6, CIVIC_MYSTICISM, Unstarted
5, 6, CIVIC_CRAFTSMANSHIP, Unstarted
5, 17, TECH_IRRIGATION, Unstarted
5, 0, TECH_BRONZE_WORKING, Unstarted
5, 1, TECH_IRRIGATION, Unstarted
6, 6, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
6, 4, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
6, 5, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
6, 7, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
6, 15, TECH_IRRIGATION, Unstarted
6, 17, CIVIC_CRAFTSMANSHIP, Unstarted
7, 12, TECH_IRRIGATION, Unstarted
7, 14, CIVIC_CRAFTSMANSHIP, Unstarted
7, 14, TECH_IRRIGATION, Unstarted
7, 2, TECH_BRONZE_WORKING, Unstarted
8, 4, CIVIC_CRAFTSMANSHIP, Unstarted
9, 15, CIVIC_CRAFTSMANSHIP, In Progress
1, 2, CIVIC_FOREIGN_TRADE, Unstarted
1, 7, CIVIC_FOREIGN_TRADE, Unstarted
1, 12, CIVIC_FOREIGN_TRADE, Unstarted
1, 15, CIVIC_FOREIGN_TRADE, Unstarted
1, 16, CIVIC_FOREIGN_TRADE, Unstarted
1, 17, CIVIC_FOREIGN_TRADE, Unstarted
1, 18, CIVIC_FOREIGN_TRADE, Unstarted
1, 20, CIVIC_FOREIGN_TRADE, Unstarted
1, 21, CIVIC_FOREIGN_TRADE, Unstarted
1, 0, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 1, CIVIC_DIPLOMATIC_SERVICE, Unstarted
1, 1, CIVIC_FOREIGN_TRADE, Unstarted
1, 0, TECH_WRITING, Unstarted
1, 1, TECH_WRITING, Unstarted
1, 0, CIVIC_FOREIGN_TRADE, Unstarted
1, 2, CIVIC_DIPLOMATIC_SERVICE, Unstarted
