Turn, EventType, Resource, Amount, Player
1, Initial Resources, LOC_RESOURCE_COCOA_NAME, 21, Unknown Civ
1, Initial Resources, LOC_RESOURCE_COTTON_NAME, 24, Unknown Civ
1, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 26, Unknown Civ
1, Initial Resources, LOC_RESOURCE_IVORY_NAME, 3, Unknown Civ
1, Initial Resources, LOC_RESOURCE_JADE_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 58, Unknown Civ
1, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_TEA_NAME, 24, Unknown Civ
1, Initial Resources, LOC_RESOURCE_TRUFFLES_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_WHALES_NAME, 58, Unknown Civ
1, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 83, Unknown Civ
1, Initial Resources, LOC_RESOURCE_HONEY_NAME, 24, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 58, Unknown Civ
1, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 22, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_COCOA_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_COFFEE_NAME, 22, Unknown Civ
1, Initial Resources, LOC_RESOURCE_DYES_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_JADE_NAME, 22, Unknown Civ
1, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 88, Unknown Civ
1, Initial Resources, LOC_RESOURCE_SALT_NAME, 26, Unknown Civ
1, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_SPICES_NAME, 18, Unknown Civ
1, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_TEA_NAME, 22, Unknown Civ
1, Initial Resources, LOC_RESOURCE_TOBACCO_NAME, 23, Unknown Civ
1, Initial Resources, LOC_RESOURCE_WHALES_NAME, 88, Unknown Civ
1, Initial Resources, LOC_RESOURCE_WINE_NAME, 18, Unknown Civ
1, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 22, Unknown Civ
1, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 158, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 107, Unknown Civ
1, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 22, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 20, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 21, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 24, Unknown Civ
1, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 20, Unknown Civ
