Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SUN_TZU, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_BI_SHENG, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HOMER, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 120, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_WOLFGANG_AMADEUS_MOZART, GREAT_PERSON_CLASS_MUSICIAN, ERA_INDUSTRIAL, 210, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SUN_TZU, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_BI_SHENG, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SIMON_PETER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ARYABHATA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 120, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_DIMITRIE_CANTEMIR, GREAT_PERSON_CLASS_MUSICIAN, ERA_INDUSTRIAL, 210, -1, -1
