Turn, EventType, GovernorName, Owner, City
3, Governor Promoted, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, CIVILIZATION_CREE, NO CITY
3, Governor Appointed, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, CIVILIZATION_CREE, NO CITY
3, Governor Promoted, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, CIVILIZATION_NUBIA, NO CITY
3, Governor Appointed, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, CIVILIZATION_NUBIA, NO CITY
3, Governor Promoted, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_NUBIA, NO CITY
3, Governor Appointed, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_NUBIA, NO CITY
3, Governor Assigned, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_NUBIA, LOC_CITY_NAME_MEROE
3, Governor Promoted, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, CIVILIZATION_BABYLON_STK, NO CITY
3, Governor Appointed, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, CIVILIZATION_BABYLON_STK, NO CITY
3, Governor Promoted, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_BABYLON_STK, NO CITY
3, Governor Appointed, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_BABYLON_STK, NO CITY
3, Governor Assigned, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_BABYLON_STK, LOC_CITY_NAME_BABYLON_STK
4, Governor Promoted, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_CREE, NO CITY
4, Governor Appointed, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_CREE, NO CITY
4, Governor Assigned, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_CREE, LOC_CITY_NAME_MIKISIW_WACIHK
5, Governor Promoted, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, CIVILIZATION_PERSIA, NO CITY
