Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
1, CIVILIZATION_AZTEC, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CREE, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_MALI, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_MONGOLIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_KABUL, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NAN_MADOL, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_SAMARKAND, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GENEVA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CAGUANA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_LAHORE, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CHINGUETTI, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_HATTUSA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BUENOS_AIRES, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_MEXICO_CITY, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_PERSIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BABYLON_STK, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_INDIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NUBIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_AZTEC, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 13, 0, 2, 1, 8, 0, 13, 5
2, CIVILIZATION_CREE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 13, 0, 2, 1, 8, 0, 11, 5
2, CIVILIZATION_MALI, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 3, 2, 1, 10, 3, 13, 5
2, CIVILIZATION_MONGOLIA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 13, 0, 3, 1, 8, 0, 11, 5
2, CIVILIZATION_KABUL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 4
2, CIVILIZATION_NAN_MADOL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 11, 0, 3, 1, 6, 0, 2, 5
2, CIVILIZATION_SAMARKAND, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 1, 2, 1, 5, 1, 2, 6
2, CIVILIZATION_GENEVA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 3, 1, 5, 0, 3, 4
2, CIVILIZATION_CAGUANA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 2, 5, 0, 2, 5
2, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 4
2, CIVILIZATION_CHINGUETTI, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 5
2, CIVILIZATION_HATTUSA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 5
2, CIVILIZATION_BUENOS_AIRES, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 5
2, CIVILIZATION_MEXICO_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 4
2, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_PERSIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 2, 5, 0, 5, 6
2, CIVILIZATION_BABYLON_STK, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 5, 7
2, CIVILIZATION_INDIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 2, 5, 0, 3, 7
2, CIVILIZATION_NUBIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 2, 5, 0, 6, 5
3, CIVILIZATION_AZTEC, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 22, 0, 2, 1, 8, 0, 13, 5
3, CIVILIZATION_CREE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 22, 0, 2, 1, 8, 0, 11, 5
3, CIVILIZATION_MALI, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 6, 2, 1, 10, 3, 13, 5
3, CIVILIZATION_MONGOLIA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 22, 0, 3, 1, 8, 0, 11, 5
