Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
1, CIVILIZATION_AZTEC, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CREE, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_MALI, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_MONGOLIA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_KABUL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NAN_MADOL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_SAMARKAND, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GENEVA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CAGUANA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_LAHORE, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CHINGUETTI, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_HATTUSA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BUENOS_AIRES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_MEXICO_CITY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_PERSIA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BABYLON_STK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_INDIA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NUBIA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_AZTEC, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_CREE, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_MALI, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_MONGOLIA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_KABUL, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_NAN_MADOL, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_SAMARKAND, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_GENEVA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_CAGUANA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_LAHORE, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_CHINGUETTI, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_HATTUSA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
