Game Turn, Range, Value, Seed, Type, Location
1, 45, 3, 910900530, sync, Choose random civilization
1, 1, 0, 291142275, sync, Choose random civilization/leader combo
1, 44, 7, 4180427776, sync, Choose random civilization
1, 1, 0, 747709497, sync, Choose random civilization/leader combo
1, 43, 23, 2951477886, sync, Choose random civilization
1, 2, 1, 2302688223, sync, Choose random civilization/leader combo
1, 42, 26, 4027686956, sync, Choose random civilization
1, 2, 1, 2757151477, sync, Choose random civilization/leader combo
1, 42, 22, 2571714698, sync, Unknown
1, 41, 7, 2325133051, sync, Unknown
1, 40, 13, 789484312, sync, Unknown
1, 39, 6, 1452679537, sync, Unknown
1, 38, 17, 713218902, sync, Unknown
1, 37, 35, 1930414039, sync, Unknown
1, 36, 32, 4091922628, sync, Unknown
1, 35, 23, 3885654957, sync, Unknown
1, 34, 29, 2884196066, sync, Unknown
1, 33, 31, 3751742067, sync, Unknown
1, 32, 31, 4091063600, sync, Unknown
1, 31, 4, 4213607849, sync, Unknown
1, 30, 22, 675938094, sync, Unknown
1, 29, 5, 3201686223, sync, Unknown
1, 28, 2, 886271068, sync, Unknown
1, 27, 26, 338778981, sync, Unknown
1, 26, 4, 4160413754, sync, Unknown
1, 25, 7, 754930923, sync, Unknown
1, 24, 16, 1297674824, sync, Unknown
1, 23, 21, 3026274529, sync, Unknown
1, 22, 21, 4037461510, sync, Unknown
1, 21, 15, 4126954695, sync, Unknown
1, 20, 19, 3073305332, sync, Unknown
1, 19, 14, 4148728349, sync, Unknown
1, 18, 6, 3319348370, sync, Unknown
1, 17, 10, 1491039843, sync, Unknown
1, 16, 10, 2697577056, sync, Unknown
1, 15, 13, 2774610713, sync, Unknown
1, 14, 5, 3863646174, sync, Unknown
1, 13, 5, 1766397375, sync, Unknown
1, 12, 5, 1769514124, sync, Unknown
1, 11, 9, 2059986901, sync, Unknown
1, 10, 1, 3790326762, sync, Unknown
1, 9, 6, 713248475, sync, Unknown
1, 8, 0, 3025239416, sync, Unknown
1, 7, 1, 498936913, sync, Unknown
1, 6, 1, 615693494, sync, Unknown
1, 5, 3, 1079901623, sync, Unknown
1, 4, 0, 3185375524, sync, Unknown
1, 3, 1, 14105741, sync, Unknown
1, 2, 1, 2451959362, sync, Unknown
1, 1, 0, 3519725139, sync, Unknown
1, 42, 7, 1619166096, sync, Unknown
1, 41, 12, 755504265, sync, Unknown
1, 40, 38, 1302899854, sync, Unknown
1, 39, 37, 4181257391, sync, Unknown
1, 38, 26, 4088678588, sync, Unknown
1, 37, 27, 2941546565, sync, Unknown
1, 36, 31, 3146187674, sync, Unknown
1, 35, 33, 3736184011, sync, Unknown
1, 34, 5, 4057674920, sync, Unknown
1, 33, 17, 642829249, sync, Unknown
1, 32, 10, 2260844390, sync, Unknown
1, 31, 2, 1471398567, sync, Unknown
1, 30, 20, 285406036, sync, Unknown
1, 29, 6, 2875024125, sync, Unknown
1, 28, 18, 932867058, sync, Unknown
1, 27, 6, 2832196163, sync, Unknown
1, 26, 1, 977662144, sync, Unknown
1, 25, 16, 329396729, sync, Unknown
1, 24, 18, 2799654206, sync, Unknown
1, 23, 12, 3305398175, sync, Unknown
1, 22, 5, 2348374252, sync, Unknown
1, 21, 7, 1154151605, sync, Unknown
1, 20, 3, 1509394250, sync, Unknown
1, 19, 6, 651777723, sync, Unknown
1, 18, 1, 1385764824, sync, Unknown
1, 17, 9, 428025649, sync, Unknown
1, 16, 1, 2477706774, sync, Unknown
1, 15, 9, 524067735, sync, Unknown
1, 14, 0, 2759055748, sync, Unknown
1, 13, 8, 296879469, sync, Unknown
1, 12, 2, 2780935586, sync, Unknown
1, 11, 0, 907928115, sync, Unknown
1, 10, 7, 202836464, sync, Unknown
1, 9, 7, 3396766569, sync, Unknown
1, 8, 7, 3475605998, sync, Unknown
1, 7, 2, 4174016143, sync, Unknown
1, 6, 5, 1836766492, sync, Unknown
1, 5, 3, 4192433445, sync, Unknown
1, 4, 1, 3005765370, sync, Unknown
1, 3, 0, 1376347307, sync, Unknown
1, 2, 0, 300820232, sync, Unknown
1, 1, 0, 1786461857, sync, Unknown
1, 2, 0, 890562758, sync, Choosing a random cost for a civic to have
1, 2, 1, 1207410823, sync, Choosing a random cost for a civic to have
1, 2, 0, 2260904884, sync, Choosing a random cost for a civic to have
1, 2, 0, 845947869, sync, Choosing a random cost for a civic to have
1, 2, 1, 1155976018, sync, Choosing a random cost for a civic to have
1, 1, 0, 3148070435, sync, Choosing how many prerequisites for a civic to have
1, 100, 13, 3132673824, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 579608793, sync, Choosing how many prerequisites for a civic to have
1, 1, 0, 3900852894, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 2255100287, sync, Choosing how many prerequisites for a civic to have
1, 1, 0, 2251013452, sync, Choosing a random prerequisite for a civic to have
1, 2, 1, 689238421, sync, Choosing how many prerequisites for a civic to have
1, 300, 19, 2378461866, sync, Choosing a random prerequisite for a civic to have
1, 201, 108, 286314139, sync, Choosing a random prerequisite for a civic to have
1, 2, 0, 2315084344, sync, Choosing how many prerequisites for a civic to have
1, 102, 45, 606081553, sync, Choosing a random prerequisite for a civic to have
1, 2, 0, 1901006710, sync, Choosing how many prerequisites for a civic to have
1, 200, 13, 1084471671, sync, Choosing a random prerequisite for a civic to have
1, 2, 0, 289565156, sync, Choosing a random cost for a tech to have
1, 2, 1, 1608695373, sync, Choosing a random cost for a tech to have
1, 2, 0, 2786372866, sync, Choosing a random cost for a tech to have
1, 2, 0, 1427142163, sync, Choosing a random cost for a tech to have
1, 2, 1, 1638809680, sync, Choosing a random cost for a tech to have
1, 2, 0, 3165254217, sync, Choosing a random cost for a tech to have
1, 1, 0, 161781582, sync, Choosing how many prerequisites for a tech to have
1, 300, 195, 360865903, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 2797539708, sync, Choosing how many prerequisites for a tech to have
1, 201, 38, 949381637, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 825678426, sync, Choosing how many prerequisites for a tech to have
1, 102, 39, 1719571595, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 1672071528, sync, Choosing how many prerequisites for a tech to have
1, 3, 0, 1494786433, sync, Choosing a random prerequisite for a tech to have
1, 2, 0, 460866086, sync, Choosing how many prerequisites for a tech to have
1, 400, 37, 633335399, sync, Choosing a random prerequisite for a tech to have
1, 2, 1, 403051540, sync, Choosing how many prerequisites for a tech to have
1, 301, 60, 2955728061, sync, Choosing a random prerequisite for a tech to have
1, 202, 182, 857103026, sync, Choosing a random prerequisite for a tech to have
1, 2, 1, 3889367555, sync, Choosing how many prerequisites for a tech to have
1, 200, 94, 2201640320, sync, Choosing a random prerequisite for a tech to have
1, 101, 93, 2035744697, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 3993726974, sync, Choosing how many prerequisites for a tech to have
1, 100, 69, 4084351839, sync, Choosing a random prerequisite for a tech to have
1, 100, 4, 2997342636, sync, Random Diplomatic Value
1, 100, 8, 173989493, sync, Random Diplomatic Value
1, 100, 58, 363499018, sync, Random Diplomatic Value
1, 100, 77, 2527180411, sync, Random Diplomatic Value
1, 100, 57, 3331742872, sync, Random Diplomatic Value
1, 100, 51, 2479615217, sync, Random Diplomatic Value
1, 100, 69, 2204860630, sync, Random Diplomatic Value
1, 100, 10, 2978692951, sync, Random Diplomatic Value
1, 100, 42, 434154052, sync, Random Diplomatic Value
1, 100, 86, 1830905645, sync, Random Diplomatic Value
1, 100, 7, 3732329570, sync, Random Diplomatic Value
1, 100, 22, 320502259, sync, Random Diplomatic Value
1, 100, 90, 945825456, sync, Random Diplomatic Value
1, 100, 64, 3906619689, sync, Random Diplomatic Value
1, 100, 1, 2784089262, sync, Random Diplomatic Value
1, 100, 81, 56148559, sync, Random Diplomatic Value
1, 100, 42, 3491298780, sync, Random Diplomatic Value
1, 100, 57, 1814384357, sync, Random Diplomatic Value
1, 100, 9, 2483719610, sync, Random Diplomatic Value
