Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
39, 0, LOC_CITY_NAME_SENA, 6.12, 0.70, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: -0.1, YIELD_FAITH: 0.0, , 
39, 4, LOC_CITY_NAME_QASR_IBRIM, 6.33, 1.19, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: -0.1, , 
39, 4, LOC_CITY_NAME_HEH, 4.49, 1.49, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: -0.1, YIELD_FAITH: 0.0, , 
40, 5, LOC_CITY_NAME_ALEXANDRIA_TROAS, , , UNIT_SETTLER, Settle City Op, CONTRACT 758
40, 5, LOC_CITY_NAME_FEZ, , CONTRACT 758, IN PROGRESS, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 726.0, Settle City Op
40, 5, LOC_CITY_NAME_FEZ, , , UNIT_CROSSBOWMAN, Default Specialization, , , Value 50.6
40, 5, LOC_CITY_NAME_METHONE, , , BUILDING_WATER_MILL, Build City Building, CONTRACT 760
40, 5, LOC_CITY_NAME_BUENOS_AIRES, , CONTRACT 758, IN PROGRESS, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 726.0, Settle City Op
40, 5, LOC_CITY_NAME_BUENOS_AIRES, , , BUILDING_MONUMENT, Build City Building, CONTRACT 762
40, 5, FAITH PURCHASE, , , UNIT_MISSIONARY, Unknown, CONTRACT 764
40, 5, LOC_CITY_NAME_CHALKIDIKI, , CONTRACT 782, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_AQUEDUCT, VALUE 807.0, Build City District
40, 6, LOC_CITY_NAME_SAO_PAULO, , CONTRACT 722, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_ENCAMPMENT, VALUE 1405.0, Build City District
40, 6, LOC_CITY_NAME_SAO_PAULO, , CONTRACT 738, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 256.0, Build City Improvement
40, 6, LOC_CITY_NAME_SAO_PAULO, , CONTRACT 739, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 91.0, Build City Improvement
40, 6, LOC_CITY_NAME_SAO_PAULO, , , BUILDING_BARRACKS, Default Specialization, , , Value 973.9
40, 6, LOC_CITY_NAME_FORTALEZA, , CONTRACT 738, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 256.0, Build City Improvement
40, 6, LOC_CITY_NAME_FORTALEZA, , CONTRACT 739, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 91.0, Build City Improvement
40, 6, LOC_CITY_NAME_FORTALEZA, , , UNIT_CROSSBOWMAN, Default Specialization, , , Value 44.8
40, 6, FAITH PURCHASE, , , UNIT_APOSTLE, Unknown, CONTRACT 765
40, 6, LOC_CITY_NAME_RIO_DE_JANEIRO, , CONTRACT 785, SUBMITTED, NO_UNIT, BUILDING_AMPHITHEATER, NO_DISTRICT, VALUE 0.0, Build Trigger Building
40, 6, LOC_CITY_NAME_RIO_DE_JANEIRO, , CONTRACT 787, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 384.0, Build City Improvement
40, 6, LOC_CITY_NAME_SAO_PAULO, , CONTRACT 787, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 384.0, Build City Improvement
40, 6, LOC_CITY_NAME_FORTALEZA, , CONTRACT 787, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 384.0, Build City Improvement
40, 6, LOC_CITY_NAME_CURITIBA, , CONTRACT 787, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 384.0, Build City Improvement
40, 7, LOC_CITY_NAME_AACHEN, , CONTRACT 728, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 222.0, Build City Improvement
40, 7, LOC_CITY_NAME_AACHEN, , CONTRACT 741, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 346.0, Build City Improvement
40, 7, LOC_CITY_NAME_AACHEN, , , UNIT_BUILDER, Build City Improvement, CONTRACT 727
40, 7, LOC_CITY_NAME_MAGDEBURG, , CONTRACT 683, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_THEATER, VALUE 1855.6, Build City District
40, 7, LOC_CITY_NAME_MAGDEBURG, , CONTRACT 725, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 736.0, Settle City Op
40, 7, LOC_CITY_NAME_MAGDEBURG, , CONTRACT 727, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 209.0, Build City Improvement
40, 7, LOC_CITY_NAME_MAGDEBURG, , CONTRACT 728, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 222.0, Build City Improvement
40, 7, LOC_CITY_NAME_MAGDEBURG, , CONTRACT 741, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 346.0, Build City Improvement
40, 7, LOC_CITY_NAME_MAGDEBURG, , , UNIT_BUILDER, Build City Improvement, CONTRACT 769
40, 7, LOC_CITY_NAME_DORTMUND, , CONTRACT 727, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 209.0, Build City Improvement
40, 7, LOC_CITY_NAME_DORTMUND, , CONTRACT 728, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 222.0, Build City Improvement
40, 7, LOC_CITY_NAME_DORTMUND, , , BUILDING_WALLS, Build City Building, CONTRACT 767
40, 7, LOC_CITY_NAME_HEIDELBERG, , CONTRACT 703, COMPLETED, UNIT_CATAPULT, NO_BUILDING, NO_DISTRICT, VALUE 1500.0, Siege City Assault
40, 7, LOC_CITY_NAME_HEIDELBERG, , CONTRACT 725, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 736.0, Settle City Op
40, 7, LOC_CITY_NAME_HEIDELBERG, , CONTRACT 727, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 209.0, Build City Improvement
40, 7, LOC_CITY_NAME_HEIDELBERG, , CONTRACT 728, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 222.0, Build City Improvement
40, 7, LOC_CITY_NAME_HEIDELBERG, , CONTRACT 741, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 346.0, Build City Improvement
40, 7, LOC_CITY_NAME_HEIDELBERG, , CONTRACT 769, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 419.0, Build City Improvement
40, 7, LOC_CITY_NAME_HEIDELBERG, , , BUILDING_WALLS, Build City Building, CONTRACT 726
40, 7, LOC_CITY_NAME_AACHEN, , CONTRACT 790, SUBMITTED, UNIT_SKIRMISHER, NO_BUILDING, NO_DISTRICT, VALUE 500.0, Siege City Assault
40, 7, LOC_CITY_NAME_MAGDEBURG, , CONTRACT 790, SUBMITTED, UNIT_SKIRMISHER, NO_BUILDING, NO_DISTRICT, VALUE 500.0, Siege City Assault
40, 7, LOC_CITY_NAME_COLOGNE, , CONTRACT 790, SUBMITTED, UNIT_SKIRMISHER, NO_BUILDING, NO_DISTRICT, VALUE 500.0, Siege City Assault
40, 7, LOC_CITY_NAME_DORTMUND, , CONTRACT 790, SUBMITTED, UNIT_SKIRMISHER, NO_BUILDING, NO_DISTRICT, VALUE 500.0, Siege City Assault
40, 7, LOC_CITY_NAME_HEIDELBERG, , CONTRACT 790, SUBMITTED, UNIT_SKIRMISHER, NO_BUILDING, NO_DISTRICT, VALUE 500.0, Siege City Assault
40, 8, LOC_CITY_HA_NOI, , CONTRACT 744, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 204.0, Build City Improvement
40, 8, LOC_CITY_HA_NOI, , , UNIT_BUILDER, Build City Improvement, CONTRACT 774
40, 8, LOC_CITY_HUE, , CONTRACT 744, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 204.0, Build City Improvement
40, 8, LOC_CITY_HUE, , , UNIT_VIETNAMESE_VOI_CHIEN, Default Specialization, , , Value 53.9
40, 8, LOC_CITY_QUANG_TRI, , CONTRACT 744, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 204.0, Build City Improvement
40, 8, LOC_CITY_QUANG_TRI, , CONTRACT 774, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 211.0, Build City Improvement
40, 8, LOC_CITY_QUANG_TRI, , , UNIT_BUILDER, Build City Improvement, CONTRACT 773
40, 8, LOC_CITY_HOA_LU, , CONTRACT 773, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 204.0, Build City Improvement
40, 8, LOC_CITY_HOA_LU, , CONTRACT 774, IN PROGRESS, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 211.0, Build City Improvement
40, 8, LOC_CITY_HOA_LU, , , BUILDING_OLD_GOD_OBELISK, Default Specialization, , , Value 275.4
40, 8, FAITH PURCHASE, , , UNIT_MISSIONARY, Unknown, CONTRACT 775
40, 8, LOC_CITY_DONG_HOI, 4.98, 0.79, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: -0.1, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
40, 8, LOC_CITY_DONG_HOI, , , BUILDING_OLD_GOD_OBELISK, Default Specialization, , , Value 143.7
40, 8, LOC_CITY_HUE, , CONTRACT 793, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 202.0, Build City Improvement
40, 8, LOC_CITY_HOI_AN, , CONTRACT 793, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 202.0, Build City Improvement
40, 8, LOC_CITY_HOA_LU, , CONTRACT 793, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 202.0, Build City Improvement
40, 8, LOC_CITY_DONG_HOI, , CONTRACT 793, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 202.0, Build City Improvement
40, 8, LOC_CITY_QUANG_TRI, , CONTRACT 795, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_AQUEDUCT, VALUE 658.0, Build City District
40, 9, LOC_CITY_NAME_ROME, , , PROJECT_ENHANCE_DISTRICT_CAMPUS, Default Specialization, , , Value 89.5
40, 9, LOC_CITY_NAME_ARRETIUM, , CONTRACT 733, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_INDUSTRIAL_ZONE, VALUE 1555.1, Build City District
40, 9, LOC_CITY_NAME_ARRETIUM, , , BUILDING_WORKSHOP, Default Specialization, , , Value 228.0
40, 9, LOC_CITY_NAME_ARPINUM, , , BUILDING_LIBRARY, Default Specialization, , , Value 643.1
40, 9, LOC_CITY_NAME_LUGDUNUM, , , UNIT_MAN_AT_ARMS, Default Specialization, , , Value 33.6
40, 9, LOC_CITY_NAME_CUMAE, , , UNIT_MAN_AT_ARMS, Default Specialization, , , Value 32.7
40, 9, FAITH PURCHASE, , , UNIT_MISSIONARY, Unknown, CONTRACT 778
40, 14, LOC_CITY_NAME_LISBON, , CONTRACT 803, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_COMMERCIAL_HUB, VALUE 525.0, Build City District
40, 14, LOC_CITY_NAME_LISBON, , CONTRACT 804, SUBMITTED, NO_UNIT, BUILDING_WALLS, NO_DISTRICT, VALUE 99.0, Build City Building
40, 17, LOC_CITY_NAME_YEREVAN, , , NO BUILDS AT ALL (maybe city was nuked?), Generic Offense
40, 17, LOC_CITY_NAME_YEREVAN, , , NO BUILDS AT ALL (maybe city was nuked?), Generic Offense
40, 4, LOC_CITY_NAME_SHAAT, 7.34, 1.28, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: -0.1, YIELD_FAITH: 0.0, , 
