Game Turn, Player, Action, , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 62, 63
40, 5, ,, -31:DIPLO_STATE_WAR, -67:DIPLO_STATE_WAR, -40:DIPLO_STATE_WAR, -64:DIPLO_STATE_WAR, -54:DIPLO_STATE_WAR,, 6:DIPLO_STATE_ALLIED, 12:DIPLO_STATE_ALLIED, 12:DIPLO_STATE_ALLIED, 22:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 3:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
40, 5, Threat and Trust,, 10.16:6:2.00, 10.16:6:1.00, 10.16:6:2.00, 10.16:6:2.00, 10.16:6:6.00,, 60.16:3:-5.00, 60.16:3:1.00, 67.95:2:0.00, 83.91:1:2.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
40, 6, ,, -74:DIPLO_STATE_WAR, -71:DIPLO_STATE_WAR, -64:DIPLO_STATE_WAR, -83:DIPLO_STATE_WAR, -83:DIPLO_STATE_WAR, -25:DIPLO_STATE_ALLIED,, 9:DIPLO_STATE_ALLIED, 9:DIPLO_STATE_ALLIED, 1:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 4:DIPLO_STATE_MAX_INFLUENCE, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
40, 6, Threat and Trust,, 10.16:6:2.00, 10.16:6:1.00, 10.16:6:2.00, 10.16:6:2.00, 10.16:6:6.00, 60.16:4:-10.00,, 66.86:3:1.00, 70.16:2:0.00, 86.11:1:2.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
40, 7, ,, -89:DIPLO_STATE_WAR, -83:DIPLO_STATE_WAR, -85:DIPLO_STATE_WAR, -102:DIPLO_STATE_WAR, -100:DIPLO_STATE_WAR, -23:DIPLO_STATE_ALLIED, 3:DIPLO_STATE_ALLIED,, 8:DIPLO_STATE_ALLIED, 2:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
40, 7, Threat and Trust,, 10.16:6:2.00, 10.16:6:1.00, 10.16:6:1.00, 10.16:6:2.00, 10.16:6:6.00, 60.16:2:-10.00, 60.16:2:-5.00,, 60.16:2:0.00, 78.95:1:2.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
40, 8, ,, -90:DIPLO_STATE_WAR, -103:DIPLO_STATE_WAR, -75:DIPLO_STATE_WAR, -82:DIPLO_STATE_WAR, -99:DIPLO_STATE_WAR, -25:DIPLO_STATE_ALLIED, -15:DIPLO_STATE_ALLIED, -8:DIPLO_STATE_ALLIED,, 23:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 3:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
40, 8, Threat and Trust,, 10.16:6:2.00, 10.16:6:1.00, 10.16:6:2.00, 10.16:6:2.00, 10.16:6:6.00, 60.16:2:-10.00, 60.16:2:-5.00, 60.16:2:1.00,, 95.95:1:2.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
40, 9, ,, -81:DIPLO_STATE_WAR, -100:DIPLO_STATE_WAR, -68:DIPLO_STATE_WAR, -85:DIPLO_STATE_WAR, -80:DIPLO_STATE_WAR, -26:DIPLO_STATE_ALLIED, 11:DIPLO_STATE_ALLIED, -3:DIPLO_STATE_ALLIED, 19:DIPLO_STATE_ALLIED,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 3:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
40, 9, Threat and Trust,, 10.16:6:2.00, 10.16:6:2.00, 10.16:6:0.00, 10.16:6:0.00, 10.16:6:1.00, 60.16:2:-10.00, 60.16:2:-5.00, 60.16:2:1.00, 60.16:2:0.00,, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
40, 10, ,, 0:DIPLO_STATE_AWARE, 2:DIPLO_STATE_PATRON, 1:DIPLO_STATE_PATRON, 0:DIPLO_STATE_AWARE, 3:DIPLO_STATE_PATRON, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR,,,,, 0:DIPLO_STATE_MINOR_MINOR_WAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
