Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
39, LOC_CITY_NAME_KERMA, 69.5, DISTRICT_AQUEDUCT, 69.5, 56, 0.0
39, LOC_CITY_NAME_SEDEINGA, 64.5, UNIT_SETTLER, 129.5, 145, 0.0
40, LOC_CITY_NAME_PELLA, 75.3, BUILDING_WORKSHOP, 75.3, 80, 0.0
40, LOC_CITY_NAME_ALEXANDRIA_TROAS, 15.4, PROJECT_ENHANCE_DISTRICT_CAMPUS, 68.2, 59, 32.5
40, LOC_CITY_NAME_CHALKIDIKI, 19.2, PROJECT_ENHANCE_DISTRICT_CAMPUS, 19.2, 59, 0.0
40, LOC_CITY_NAME_ALEXANDRIA_LATMUS, 17.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 17.3, 59, 0.0
40, LOC_CITY_NAME_FEZ, 39.9, BUILDING_WATER_MILL, 75.2, 40, 35.2
40, LOC_CITY_NAME_BUENOS_AIRES, 45.7, BUILDING_WALLS, 83.8, 50, 23.4
40, LOC_CITY_NAME_RIO_DE_JANEIRO, 54.2, BUILDING_MARKET, 54.2, 60, 0.0
40, LOC_CITY_NAME_SAO_PAULO, 52.0, DISTRICT_ENCAMPMENT, 104.5, 80, 24.5
40, LOC_CITY_NAME_FORTALEZA, 43.2, UNIT_CROSSBOWMAN, 127.0, 90, 48.0
40, LOC_CITY_NAME_CURITIBA, 37.8, UNIT_CROSSBOWMAN, 85.1, 90, 0.0
40, LOC_CITY_NAME_SALVADOR, 36.2, UNIT_BUILDER, 36.2, 51, 0.0
40, LOC_CITY_NAME_JERUSALEM, 34.9, UNIT_BUILDER, 34.9, 51, 0.0
40, LOC_CITY_NAME_RIO_DE_JANEIRO, 31.0, BUILDING_MARKET, 85.2, 60, 25.2
40, LOC_CITY_NAME_AACHEN, 132.4, UNIT_BUILDER, 132.4, 47, 27.6
40, LOC_CITY_NAME_MAGDEBURG, 45.2, DISTRICT_THEATER, 119.3, 80, 39.3
40, LOC_CITY_NAME_COLOGNE, 63.3, DISTRICT_ENCAMPMENT, 63.3, 82, 0.0
40, LOC_CITY_NAME_DORTMUND, 61.3, UNIT_BUILDER, 61.3, 49, 0.0
40, LOC_CITY_NAME_HEIDELBERG, 21.6, UNIT_CATAPULT, 72.0, 60, 17.5
40, LOC_CITY_NAME_AACHEN, 58.6, UNIT_BUILDER, 58.6, 51, 0.0
40, LOC_CITY_HA_NOI, 59.3, UNIT_VIETNAMESE_VOI_CHIEN, 138.2, 100, 53.3
40, LOC_CITY_HUE, 74.5, UNIT_BUILDER, 74.5, 59, 15.5
40, LOC_CITY_HOI_AN, 80.9, UNIT_VIETNAMESE_VOI_CHIEN, 80.9, 100, 0.0
