Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
40, 8, 16, 1:1, 1966102:1245192, UNIT_ARCHER, UNIT_CROSSBOWMAN, 25, 30, 0, 3, 0, 22
40, 8, 16, 1:1, 3014688:1245192, UNIT_SWORDSMAN, UNIT_CROSSBOWMAN, 36, 30, 2, 1, 23, 39
40, 9, 4, 1:1, 4653096:1900547, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 3, 4, 0, 34
40, 9, 4, 1:1, 6160431:1769490, UNIT_CROSSBOWMAN, UNIT_NUBIAN_PITATI, 40, 17, -3, 0, 0, 66
40, 9, 4, 1:1, 3014684:1900547, UNIT_CATAPULT, UNIT_SWORDSMAN, 35, 36, -17, 1, 0, 14
40, 9, 4, 1:1, 4587520:196608, UNIT_CROSSBOWMAN, UNIT_VAMPIRE, 40, 36, 0, 9, 0, 25
40, 9, 4, 3:1, 458758:196608, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 36, 0, 7, 0, 27
40, 16, 8, 1:1, 917514:3014688, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, 4, -1, 25, 36
40, 16, 8, 1:1, 851977:3014688, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, 3, -4, 22, 40
41, 6, 4, 1:1, 3407909:131073, UNIT_SKIRMISHER, UNIT_WARRIOR, 35, 20, 0, -3, 0, 60
41, 8, 16, 1:1, 1966102:851977, UNIT_ARCHER, UNIT_SWORDSMAN, 25, 36, 0, -3, 0, 22
41, 9, 4, 1:1, 4653096:1900547, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 3, 15, 0, 22
41, 9, 4, 1:1, 6160431:1900547, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, -3, 13, 0, 19
41, 9, 4, 1:1, 3014684:1900547, UNIT_CATAPULT, UNIT_SWORDSMAN, 35, 36, -17, 1, 0, 14
41, 9, 4, 1:1, 6291505:1900547, UNIT_MAN_AT_ARMS, UNIT_SWORDSMAN, 46, 36, 4, 0, 17, 52
41, 16, 8, 1:1, 1245192:2424853, UNIT_CROSSBOWMAN, UNIT_HORSEMAN, 40, 15, -6, -6, 0, 78
41, 16, 8, 1:1, 983045:3145762, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, -9, 12, 69, 13
41, 16, 8, 1:1, 851977:1966102, UNIT_SWORDSMAN, UNIT_ARCHER, 36, 15, -5, 0, 16, 56
42, 7, 14, 1:1, 3014666:524292, UNIT_SWORDSMAN, UNIT_CATAPULT, 36, 25, 11, 6, 16, 56
42, 16, 8, 1:1, 1310725:3145762, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 0, 11, 0, 23
43, 5, 2, 1:1, 1769493:131073, UNIT_MACEDONIAN_HETAIROI, UNIT_WARRIOR, 36, 20, 0, 0, 16, 56
43, 7, 14, 1:1, 3014666:589829, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, 9, 8, 28, 32
43, 8, 16, 1:1, 1966102:720903, UNIT_ARCHER, UNIT_CATAPULT, 25, 25, -6, 10, 0, 16
43, 8, 16, 1:1, 3145762:720903, UNIT_SWORDSMAN, UNIT_CATAPULT, 36, 25, 0, -2, 18, 50
43, 8, 16, 1:1, 3080225:720903, UNIT_SWORDSMAN, UNIT_CATAPULT, 36, 25, 4, -7, 13, 69
43, 14, 7, 1:1, 458755:2621472, UNIT_CATAPULT, UNIT_SWORDSMAN, 35, 15, -17, 11, 0, 22
43, 16, 8, 1:1, 1310725:3080225, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 0, 3, 0, 31
43, 16, 8, 1:1, 1245192:3080225, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, -6, 0, 0, 28
43, 16, 8, 1:1, 917514:3080225, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, -2, -3, 29, 31
43, 16, 8, 1:1, 851977:2228250, UNIT_SWORDSMAN, UNIT_HORSEMAN, 36, 36, -5, 0, 36, 25
44, 5, 2, 1:1, 1769493:131073, UNIT_MACEDONIAN_HETAIROI, UNIT_WARRIOR, 36, 20, -2, -6, 14, 66
44, 8, 16, 1:1, 2228250:917514, UNIT_HORSEMAN, UNIT_SWORDSMAN, 36, 36, 2, -5, 23, 39
44, 8, 16, 1:1, 3145762:917514, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, 3, -9, 19, 48
44, 9, 4, 1:1, 7536677:393220, UNIT_TREBUCHET, UNIT_SCOUT, 45, 10, -17, 15, 0, 34
44, 16, 8, 1:1, 1310725:3145762, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 0, -3, 0, 40
44, 16, 8, 3:1, 65536:3604499, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 36, 0, 3, 0, 31
44, 0, 5, 1:1, 917512:1769493, UNIT_EGYPTIAN_CHARIOT_ARCHER, UNIT_MACEDONIAN_HETAIROI, 35, 36, 5, -3, 0, 39
44, 4, 9, 1:1, 3473421:7340071, UNIT_CROSSBOWMAN, UNIT_MAN_AT_ARMS, 40, 46, 18, 7, 0, 36
44, 4, 9, 1:1, 3407886:6815774, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 16, 3, 0, 74
44, 4, 9, 1:1, 3604485:6815774, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 18, -4, 0, 100
44, 4, 9, 1:1, 3538954:7340071, UNIT_CROSSBOWMAN, UNIT_MAN_AT_ARMS, 40, 46, 25, 3, 0, 55
45, 7, 16, 1:1, 3407907:1245192, UNIT_SKIRMISHER, UNIT_CROSSBOWMAN, 35, 30, 7, -2, 0, 51
45, 7, 14, 1:1, 3014666:524292, UNIT_SWORDSMAN, UNIT_CATAPULT, 36, 25, 7, 2, 16, 55
45, 8, 16, 1:1, 5439490:1245192, UNIT_VIETNAMESE_VOI_CHIEN, UNIT_CROSSBOWMAN, 40, 30, 0, -7, 0, 57
45, 9, 4, 1:1, 7536677:393220, UNIT_TREBUCHET, UNIT_SCOUT, 45, 10, -17, 13, 0, 37
45, 9, 4, 1:1, 7340071:196608, UNIT_MAN_AT_ARMS, UNIT_VAMPIRE, 46, 36, -5, 18, 49, 18
45, 14, 7, 1:1, 589829:2687009, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, -2, 19, 67, 13
45, 14, 7, 3:1, 65536:2555935, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, 0, 0, 10
45, 16, 8, 3:1, 65536:1966102, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 15, 0, -6, 0, 99
45, 4, 9, 1:1, 3604485:7995449, UNIT_CROSSBOWMAN, UNIT_TREBUCHET, 40, 35, 18, 16, 0, 39
45, 4, 9, 1:1, 3801100:7995449, UNIT_CROSSBOWMAN, UNIT_TREBUCHET, 40, 35, 9, 12, 0, 32
45, 4, 9, 1:1, 3538954:7995449, UNIT_CROSSBOWMAN, UNIT_TREBUCHET, 40, 35, 25, 9, 0, 68
45, 0, 5, 1:1, 917512:1769493, UNIT_EGYPTIAN_CHARIOT_ARCHER, UNIT_MACEDONIAN_HETAIROI, 35, 36, 5, -7, 0, 46
46, 7, 14, 1:1, 2687009:589829, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, 10, -2, 19, 48
46, 7, 14, 1:1, 3014666:524292, UNIT_SWORDSMAN, UNIT_CATAPULT, 36, 25, 5, -4, 14, 64
46, 8, 16, 1:3, 3932199:65536, UNIT_SWORDSMAN, UNKNOWN, 36, 26, 4, 14, 30, 1
46, 8, 1, 1:1, 4522029:458756, UNIT_SKIRMISHER, UNIT_SCOUT, 35, 10, 2, 6, 0, 68
46, 9, 4, 1:1, 7536677:196608, UNIT_TREBUCHET, UNIT_VAMPIRE, 45, 36, -17, 15, 0, 12
46, 14, 7, 1:1, 458755:2621472, UNIT_CATAPULT, UNIT_SWORDSMAN, 35, 30, -17, 9, 0, 13
46, 14, 7, 1:1, 655362:2687009, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, 0, 14, 51, 17
46, 14, 7, 3:1, 65536:2621472, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -3, 0, 12
46, 16, 8, 1:1, 1310725:2228250, UNIT_CROSSBOWMAN, UNIT_HORSEMAN, 40, 36, 0, -2, 0, 37
46, 16, 8, 1:1, 1376266:2228250, UNIT_CROSSBOWMAN, UNIT_HORSEMAN, 40, 36, 0, -5, 0, 43
46, 16, 8, 3:1, 65536:3276804, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 25, 0, 10, 0, 36
46, 4, 9, 1:1, 3473421:7536677, UNIT_CROSSBOWMAN, UNIT_TREBUCHET, 40, 35, 18, 13, 0, 44
46, 4, 9, 1:1, 3604485:4587520, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 18, 6, 0, 71
47, 7, 16, 1:1, 3670036:1376266, UNIT_SKIRMISHER, UNIT_CROSSBOWMAN, 35, 30, 7, 3, 0, 43
47, 8, 16, 1:1, 5439490:1376266, UNIT_VIETNAMESE_VOI_CHIEN, UNIT_CROSSBOWMAN, 40, 30, 0, -1, 0, 46
47, 8, 16, 1:1, 4915249:1376266, UNIT_SWORDSMAN, UNIT_CROSSBOWMAN, 36, 30, 4, -6, 16, 56
47, 8, 16, 1:3, 3276804:65536, UNIT_CATAPULT, UNKNOWN, 35, 26, -4, 14, 0, 2
47, 8, 16, 1:3, 3932199:65536, UNIT_SWORDSMAN, UNKNOWN, 36, 26, 1, 14, 33, 10
47, 9, 4, 3:1, 458758:3604485, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 30, 0, 11, 0, 29
47, 9, 4, 1:1, 7536677:3473421, UNIT_TREBUCHET, UNIT_CROSSBOWMAN, 45, 30, -21, 13, 0, 14
47, 14, 7, 1:1, 458755:2555935, UNIT_CATAPULT, UNIT_SWORDSMAN, 35, 30, -17, 10, 0, 13
47, 14, 7, 1:1, 655362:2687009, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, -5, 17, 71, 13
47, 14, 7, 3:1, 65536:2555935, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -2, 0, 11
47, 16, 8, 1:1, 1310725:3276804, UNIT_CROSSBOWMAN, UNIT_CATAPULT, 40, 25, 0, 6, 0, 42
47, 16, 8, 3:1, 65536:3276804, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 25, -4, 2, 0, 42
47, 0, 5, 1:1, 1572871:2293786, UNIT_EGYPTIAN_CHARIOT_ARCHER, UNIT_MACEDONIAN_HETAIROI, 35, 36, 5, 0, 0, 35
47, 0, 5, 1:1, 917512:2293786, UNIT_EGYPTIAN_CHARIOT_ARCHER, UNIT_MACEDONIAN_HETAIROI, 35, 36, 10, -3, 0, 49
47, 0, 5, 1:1, 262146:2293786, UNIT_VAMPIRE, UNIT_MACEDONIAN_HETAIROI, 50, 36, 16, -8, 7, 100
47, 4, 9, 1:1, 3538954:7536677, UNIT_CROSSBOWMAN, UNIT_TREBUCHET, 40, 35, 25, 9, 0, 69
47, 4, 9, 1:1, 3473421:4980767, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 17, -2, 0, 92
47, 4, 9, 1:1, 3407886:7929912, UNIT_CROSSBOWMAN, UNIT_MAN_AT_ARMS, 40, 46, 16, 4, 0, 38
47, 4, 9, 1:1, 3801100:7929912, UNIT_CROSSBOWMAN, UNIT_MAN_AT_ARMS, 40, 46, 18, 0, 0, 47
47, 4, 9, 1:1, 3604485:7929912, UNIT_CROSSBOWMAN, UNIT_MAN_AT_ARMS, 40, 46, 15, -4, 0, 51
48, 5, 0, 1:1, 5111855:262146, UNIT_CROSSBOWMAN, UNIT_VAMPIRE, 40, 50, 0, 11, 0, 13
48, 5, 0, 3:1, 1048591:262146, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 50, 0, 5, 0, 17
48, 7, 16, 1:3, 4456488:65536, UNIT_CATAPULT, UNKNOWN, 35, 26, 7, 14, 0, 13
48, 8, 16, 1:3, 5439490:65536, UNIT_VIETNAMESE_VOI_CHIEN, UNKNOWN, 40, 26, -17, 13, 0, 14
48, 8, 16, 1:3, 4915249:65536, UNIT_SWORDSMAN, UNKNOWN, 36, 26, 2, 13, 30, 28
48, 8, 16, 1:3, 3604499:65536, UNIT_HORSEMAN, UNKNOWN, 36, 26, -2, 11, 34, 26
48, 9, 4, 1:1, 4587520:3604485, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, -7, 13, 0, 20
48, 9, 4, 3:1, 458758:3604485, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 30, 0, 6, 0, 35
48, 9, 4, 1:1, 4980767:3473421, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, -9, 15, 0, 17
48, 9, 4, 1:1, 5636103:3407886, UNIT_SKIRMISHER, UNIT_CROSSBOWMAN, 35, 30, 0, 14, 0, 21
48, 14, 7, 1:1, 458755:2555935, UNIT_CATAPULT, UNIT_SWORDSMAN, 35, 30, -17, 8, 0, 14
48, 14, 7, 3:1, 65536:2555935, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -5, 0, 13
48, 16, 8, 1:1, 1310725:3604499, UNIT_CROSSBOWMAN, UNIT_HORSEMAN, 40, 36, 0, -5, 0, 43
48, 0, 5, 1:1, 1966095:3342365, UNIT_KNIGHT, UNIT_CROSSBOWMAN, 50, 30, 5, -2, 10, 86
48, 4, 9, 1:1, 3473421:4980767, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 15, -6, 0, 100
48, 0, 5, 1:3, 917512:1048591, UNIT_EGYPTIAN_CHARIOT_ARCHER, UNKNOWN, 35, 40, -17, 0, 0, 1
48, 4, 9, 1:1, 3801100:5636103, UNIT_CROSSBOWMAN, UNIT_SKIRMISHER, 40, 30, 18, 0, 0, 90
49, 5, 0, 1:1, 5111855:917512, UNIT_CROSSBOWMAN, UNIT_EGYPTIAN_CHARIOT_ARCHER, 40, 25, 3, 8, 0, 44
49, 5, 0, 1:1, 3342365:1966095, UNIT_CROSSBOWMAN, UNIT_KNIGHT, 40, 50, -6, 7, 0, 12
49, 5, 0, 1:1, 4587561:2293777, UNIT_MAN_AT_ARMS, UNIT_KNIGHT, 46, 50, 0, 12, 56, 16
49, 5, 0, 3:1, 1048591:917512, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 25, -1, -1, 0, 55
49, 7, 16, 1:3, 4456488:65536, UNIT_CATAPULT, UNKNOWN, 35, 26, 7, 11, 0, 36
49, 8, 16, 1:3, 5439490:65536, UNIT_VIETNAMESE_VOI_CHIEN, UNKNOWN, 40, 26, -14, 9, 0, 21
49, 8, 16, 1:3, 3932199:65536, UNIT_SWORDSMAN, UNKNOWN, 36, 26, -2, 8, 30, 30
49, 8, 16, 1:3, 4915249:65536, UNIT_SWORDSMAN, UNKNOWN, 36, 26, -1, 7, 27, 33
49, 9, 4, 1:1, 8126492:3407886, UNIT_MAN_AT_ARMS, UNIT_CROSSBOWMAN, 46, 30, 6, 18, 26, 35
49, 9, 4, 1:1, 5242890:3801100, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 3, 16, 0, 27
49, 12, 17, 1:1, 720898:917512, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 0, 0, 0, 34
49, 12, 17, 1:1, 458752:917512, UNIT_SWORDSMAN, UNIT_SWORDSMAN, 36, 36, 0, -3, 26, 34
49, 14, 7, 1:1, 458755:2555935, UNIT_CATAPULT, UNIT_SWORDSMAN, 35, 30, -17, 5, 0, 15
49, 14, 7, 3:1, 65536:2555935, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -8, 0, 14
49, 16, 8, 1:1, 1310725:3604499, UNIT_CROSSBOWMAN, UNIT_HORSEMAN, 40, 36, 3, -10, 0, 58
49, 0, 5, 1:3, 2490381:1048591, UNIT_CROSSBOWMAN, UNKNOWN, 40, 40, -9, 0, 0, 2
49, 4, 9, 1:1, 3604485:6094894, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 25, 3, 0, 100
