Update: 64 spline, 181 tower
Update: 118 spline, 334 tower
Free: 59 spline, 167 tower
Update: 86 spline, 246 tower
Free: 43 spline, 123 tower
Update: 80 spline, 220 tower
Free: 40 spline, 110 tower
Update: 1 spline, 3 tower
Update: 1 spline, 3 tower
Update: 4 spline, 12 tower
Update: 7 spline, 20 tower
Free: 3 spline, 8 tower
Update: 7 spline, 20 tower
Free: 3 spline, 8 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 12 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 2 spline, 8 tower
Update: 17 spline, 46 tower
Free: 8 spline, 23 tower
Update: 6 spline, 12 tower
Free: 3 spline, 6 tower
Update: 42 spline, 120 tower
Free: 21 spline, 60 tower
Update: 18 spline, 45 tower
Free: 9 spline, 22 tower
Update: 17 spline, 36 tower
Free: 8 spline, 18 tower
Update: 8 spline, 20 tower
Free: 4 spline, 10 tower
Update: 8 spline, 20 tower
Free: 4 spline, 10 tower
Update: 10 spline, 20 tower
Free: 5 spline, 10 tower
Update: 17 spline, 36 tower
Free: 10 spline, 22 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 5 spline, 14 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 1 spline, 1 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 1 spline, 1 tower
Update: 2 spline, 2 tower
Free: 1 spline, 1 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 8 spline, 14 tower
Free: 4 spline, 7 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 2 spline, 6 tower
Free: 1 spline, 3 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 12 spline, 34 tower
Free: 6 spline, 17 tower
Update: 40 spline, 122 tower
Free: 20 spline, 61 tower
Update: 11 spline, 32 tower
Free: 5 spline, 15 tower
Update: 12 spline, 34 tower
Free: 6 spline, 17 tower
Update: 12 spline, 34 tower
Free: 6 spline, 17 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 2 spline, 4 tower
Free: 1 spline, 2 tower
Update: 8 spline, 27 tower
Free: 2 spline, 10 tower
Update: 10 spline, 32 tower
Free: 5 spline, 16 tower
Update: 1 spline, 8 tower
Update: 24 spline, 58 tower
Free: 12 spline, 29 tower
Update: 2 spline, 16 tower
Free: 1 spline, 8 tower
Update: 5 spline, 14 tower
Update: 8 spline, 18 tower
Free: 4 spline, 9 tower
Update: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 1 spline, 1 tower
Update: 2 spline, 2 tower
Free: 1 spline, 1 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 16 tower
Free: 2 spline, 8 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 2 spline, 2 tower
Free: 1 spline, 1 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 31 spline, 83 tower
Free: 15 spline, 40 tower
Update: 63 spline, 152 tower
Free: 31 spline, 76 tower
Update: 4 spline, 16 tower
Free: 2 spline, 8 tower
Update: 16 spline, 62 tower
Free: 8 spline, 31 tower
Update: 48 spline, 108 tower
Free: 24 spline, 54 tower
Update: 22 spline, 55 tower
Free: 11 spline, 25 tower
Update: 22 spline, 60 tower
Free: 11 spline, 30 tower
Update: 12 spline, 34 tower
Free: 6 spline, 17 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 4 spline, 7 tower
Update: 10 spline, 32 tower
Free: 5 spline, 16 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 1 spline, 8 tower
Update: 16 spline, 30 tower
Free: 8 spline, 13 tower
Update: 19 spline, 34 tower
Free: 8 spline, 17 tower
Update: 4 spline, 13 tower
Update: 8 spline, 26 tower
Free: 4 spline, 13 tower
Update: 5 spline, 14 tower
Update: 10 spline, 28 tower
Free: 5 spline, 14 tower
Update: 10 spline, 28 tower
Free: 5 spline, 14 tower
Update: 8 spline, 18 tower
Free: 4 spline, 9 tower
Update: 2 spline, 10 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
