[2861220.157] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2861220.157] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2861220.157] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2861220.157] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2861220.157] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2861220.157] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2861220.158] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2861220.158] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2861220.158] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.633] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.633] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.633] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.633] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.633] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.633] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.633] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.633] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866122.634] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.616] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.616] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.616] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.616] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.616] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.616] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.617] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.617] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2866280.617] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.630] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.631] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.631] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.631] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.631] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.631] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.631] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.631] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868185.632] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.543] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.543] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.543] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.543] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.543] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.543] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.543] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.543] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868489.544] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.478] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.478] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.478] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.478] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.478] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.478] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.478] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.478] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2868729.479] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.813] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.813] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.813] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.813] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.813] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.813] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.813] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.813] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869274.814] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.659] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.659] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.659] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.659] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.659] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.659] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.659] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.659] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869553.660] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.826] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.826] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.826] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.826] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.826] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.826] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.826] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.826] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
[2869748.827] Pathfinder Allocation, rows 88, columns 88, column buffer 704, row buffer 7744, total 681472
