Turn, PlayerIndex, Control, HeroesDiscovered, HeroesClaimed, HeroesRecalled, DiscoveryOrder
40, 0, Human, 0, 0, 0, Rebuilding Discovery Order
40, 1, Human, 0, 0, 0, Rebuilding Discovery Order
40, 2, Human, 0, 0, 0, Rebuilding Discovery Order
40, 3, Human, 0, 0, 0, Rebuilding Discovery Order
40, 4, Human, 0, 0, 0, Rebuilding Discovery Order
40, 5, AI, 0, 0, 0, Rebuilding Discovery Order
40, 6, AI, 0, 0, 0, Rebuilding Discovery Order
40, 7, AI, 0, 0, 0, Rebuilding Discovery Order
40, 8, AI, 0, 0, 0, Rebuilding Discovery Order
40, 9, AI, 0, 0, 0, Rebuilding Discovery Order
41, 0, Human, 0, 0, 0, Rebuilding Discovery Order
41, 1, Human, 0, 0, 0, Rebuilding Discovery Order
41, 2, Human, 0, 0, 0, Rebuilding Discovery Order
41, 3, Human, 0, 0, 0, Rebuilding Discovery Order
41, 4, Human, 0, 0, 0, Rebuilding Discovery Order
41, 5, AI, 0, 0, 0, Rebuilding Discovery Order
41, 6, AI, 0, 0, 0, Rebuilding Discovery Order
41, 7, AI, 0, 0, 0, Rebuilding Discovery Order
41, 8, AI, 0, 0, 0, Rebuilding Discovery Order
41, 9, AI, 0, 0, 0, Rebuilding Discovery Order
42, 0, Human, 0, 0, 0, Rebuilding Discovery Order
42, 1, Human, 0, 0, 0, Rebuilding Discovery Order
42, 2, Human, 0, 0, 0, Rebuilding Discovery Order
42, 3, Human, 0, 0, 0, Rebuilding Discovery Order
42, 4, Human, 0, 0, 0, Rebuilding Discovery Order
42, 5, AI, 0, 0, 0, Rebuilding Discovery Order
42, 6, AI, 0, 0, 0, Rebuilding Discovery Order
42, 7, AI, 0, 0, 0, Rebuilding Discovery Order
42, 8, AI, 0, 0, 0, Rebuilding Discovery Order
42, 9, AI, 0, 0, 0, Rebuilding Discovery Order
43, 0, Human, 0, 0, 0, Rebuilding Discovery Order
43, 1, Human, 0, 0, 0, Rebuilding Discovery Order
43, 2, Human, 0, 0, 0, Rebuilding Discovery Order
43, 3, Human, 0, 0, 0, Rebuilding Discovery Order
43, 4, Human, 0, 0, 0, Rebuilding Discovery Order
43, 5, AI, 0, 0, 0, Rebuilding Discovery Order
43, 6, AI, 0, 0, 0, Rebuilding Discovery Order
43, 7, AI, 0, 0, 0, Rebuilding Discovery Order
43, 8, AI, 0, 0, 0, Rebuilding Discovery Order
43, 9, AI, 0, 0, 0, Rebuilding Discovery Order
44, 0, Human, 0, 0, 0, Rebuilding Discovery Order
44, 1, Human, 0, 0, 0, Rebuilding Discovery Order
44, 2, Human, 0, 0, 0, Rebuilding Discovery Order
44, 3, Human, 0, 0, 0, Rebuilding Discovery Order
44, 4, Human, 0, 0, 0, Rebuilding Discovery Order
44, 5, AI, 0, 0, 0, Rebuilding Discovery Order
44, 6, AI, 0, 0, 0, Rebuilding Discovery Order
44, 7, AI, 0, 0, 0, Rebuilding Discovery Order
44, 8, AI, 0, 0, 0, Rebuilding Discovery Order
44, 9, AI, 0, 0, 0, Rebuilding Discovery Order
45, 0, Human, 0, 0, 0, Rebuilding Discovery Order
45, 1, Human, 0, 0, 0, Rebuilding Discovery Order
45, 2, Human, 0, 0, 0, Rebuilding Discovery Order
45, 3, Human, 0, 0, 0, Rebuilding Discovery Order
45, 4, Human, 0, 0, 0, Rebuilding Discovery Order
45, 5, AI, 0, 0, 0, Rebuilding Discovery Order
45, 6, AI, 0, 0, 0, Rebuilding Discovery Order
