Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
41, Token used by 7, 7, 14, 3
41, Token used by 6, 6, 14, 5
43, Token used by 4, 4, 14, 3
43, Unique Bonus received by 4, 4, 14, 3
44, Token used by 1, 1, 17, 3
44, Unique Bonus received by 1, 1, 17, 3
46, Token used by 3, 3, 17, 3
46, Token used by 4, 4, 21, 3
46, Token used by 0, 0, 14, 2
47, Token used by 6, 6, 17, 2
47, Token used by 6, 6, 17, 3
47, Token used by 6, 6, 17, 4
47, Unique Bonus received by 6, 6, 17, 4
47, Token used by 7, 7, 17, 1
47, Token used by 8, 8, 17, 1
47, Token used by 9, 9, 17, 1
47, Token used by 9, 9, 17, 2
48, Token used by 7, 7, 21, 1
48, Token used by 8, 8, 21, 1
48, Token used by 8, 8, 21, 2
48, Token used by 1, 1, 12, 2
48, Token used by 1, 1, 10, 3
48, Token used by 1, 1, 12, 3
48, Unique Bonus received by 1, 1, 12, 3
48, Token used by 4, 4, 16, 4
49, Token used by 6, 6, 10, 2
49, Token used by 8, 8, 10, 1
49, Token used by 9, 9, 10, 1
49, Token used by 2, 2, 10, 2
49, Token used by 2, 2, 10, 3
49, Token used by 2, 2, 17, 3
49, Token used by 1, 1, 20, 2
49, Token used by 1, 1, 16, 2
49, Token used by 3, 3, 17, 4
49, Token used by 0, 0, 21, 2
50, Token used by 5, 5, 10, 2
50, Token used by 9, 9, 17, 3
50, Token used by 2, 2, 14, 1
50, Token used by 0, 0, 21, 3
51, Token used by 5, 5, 21, 1
51, Token used by 0, 0, 21, 4
51, Unique Bonus received by 0, 0, 21, 4
52, Token used by 5, 5, 17, 1
52, Token used by 6, 6, 10, 3
52, Token used by 6, 6, 10, 4
52, Token used by 7, 7, 10, 1
52, Token used by 7, 7, 10, 2
52, Token used by 1, 1, 21, 4
52, Token used by 0, 0, 10, 2
53, Token used by 7, 7, 17, 2
53, Token used by 9, 9, 17, 4
53, Token used by 4, 4, 14, 4
54, Token used by 8, 8, 17, 2
54, Token used by 9, 9, 17, 5
55, Token used by 5, 5, 10, 5
55, Unique Bonus received by 5, 5, 10, 5
55, Token used by 0, 0, 20, 3
55, Token used by 4, 4, 12, 2
56, Token used by 6, 6, 20, 2
56, Token used by 6, 6, 20, 3
56, Token used by 7, 7, 10, 5
56, Token used by 8, 8, 17, 3
56, Token used by 3, 3, 13, 3
57, Token used by 3, 3, 15, 3
57, Token used by 2, 2, 12, 1
57, Token used by 3, 3, 10, 2
58, Token used by 5, 5, 10, 6
58, Unique Bonus received by 5, 5, 10, 6
58, Token used by 7, 7, 10, 6
58, Token used by 7, 7, 10, 7
58, Unique Bonus received by 7, 7, 10, 7
58, Token used by 7, 7, 10, 8
58, Token used by 4, 4, 15, 2
58, Token used by 4, 4, 12, 3
58, Token used by 4, 4, 12, 4
58, Unique Bonus received by 4, 4, 12, 4
58, Token used by 4, 4, 12, 5
58, Token used by 4, 4, 12, 6
58, Token used by 4, 4, 14, 5
58, Token used by 4, 4, 14, 6
58, Token used by 5, 5, 10, 6
58, Unique Bonus received by 5, 5, 10, 6
58, Token used by 7, 7, 10, 6
58, Token used by 7, 7, 10, 7
58, Unique Bonus received by 7, 7, 10, 7
58, Token used by 7, 7, 10, 8
58, Token used by 4, 4, 15, 2
59, Token used by 4, 4, 20, 4
59, Unique Bonus received by 4, 4, 20, 4
59, Token used by 4, 4, 20, 5
59, Token used by 8, 8, 17, 4
59, Token used by 8, 8, 17, 5
59, Token used by 9, 9, 10, 2
59, Token used by 1, 1, 14, 1
