Game Turn, Realism, Total CO2, CO2 Bldgs, CO2 Projects, CO2 Routes, CO2 Units, Deforestation, ClimateChange, Volcanoes (Total), NW Volcanoes, Volcanoes (Active), Eruptions, Floodable Rivers, Floods, NaturalWonderEruptions
40, ENHANCED TILES, At plot: 6750, 6750,
40, ONEOFF, Severity = 1, 林火, Center at: (62 - 76), Tiles Damaged = 0
40, ONEOFF, Severity = 1, 林火, Center at: (61 - 76), Tiles Damaged = 0
40, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 1, 87, 32, 0
40, STORM, Severity = 1, 严重性暴风雪, Center at: (44 - 87), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
41, ENHANCED TILES, At plot: 7612, 7699,
41, STORM, Severity = 1, 严重性暴风雪, Center at: (42 - 86), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 1
41, STORM MOVEMENT, 7612,7611,7522,7610,
41, ONEOFF, Severity = 1, 林火, Center at: (61 - 76), Tiles Damaged = 0
41, ENHANCED TILES, At plot: 6838, 6838,
41, ONEOFF, Severity = 1, 林火, Center at: (62 - 77), Tiles Damaged = 0
41, ENHANCED TILES, At plot: 6662, 6662,
41, ONEOFF, Severity = 1, 林火, Center at: (62 - 75), Tiles Damaged = 0
41, ENHANCED TILES, At plot: 6751, 6751,
41, ONEOFF, Severity = 1, 林火, Center at: (63 - 76), Tiles Damaged = 0
41, ONEOFF, Severity = 1, 林火, Center at: (62 - 76), Tiles Damaged = 0
41, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 1, 87, 32, 0
41, FLOOD, Severity = 1, 奥得河, Floodplain at: (8 - 43), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
42, STORM, Severity = 1, 严重性暴风雪, Center at: (38 - 87), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
42, STORM MOVEMENT, 7609,7608,7695,7694,
42, ONEOFF, Severity = 1, 林火, Center at: (61 - 76), Tiles Damaged = 0
42, ONEOFF, Severity = 1, 林火, Center at: (62 - 76), Tiles Damaged = 0
42, ONEOFF, Severity = 1, 林火, Center at: (62 - 77), Tiles Damaged = 0
42, ONEOFF, Severity = 1, 林火, Center at: (62 - 75), Tiles Damaged = 0
42, ENHANCED TILES, At plot: 6663, 6663,
42, ONEOFF, Severity = 1, 林火, Center at: (63 - 75), Tiles Damaged = 0
42, ENHANCED TILES, At plot: 6752, 6752,
42, ONEOFF, Severity = 1, 林火, Center at: (64 - 76), Tiles Damaged = 0
42, ONEOFF, Severity = 1, 林火, Center at: (63 - 76), Tiles Damaged = 0
42, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 1, 87, 33, 0
42, FLOOD, Severity = 2, 亚马逊河, Floodplain at: (17 - 57), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
43, ONEOFF, Severity = 1, 林火, Center at: (61 - 76), Tiles Damaged = 0
43, ONEOFF, Severity = 1, 林火, Center at: (62 - 76), Tiles Damaged = 0
43, ONEOFF, Severity = 1, 林火, Center at: (62 - 77), Tiles Damaged = 0
43, ONEOFF, Severity = 1, 林火, Center at: (62 - 75), Tiles Damaged = 0
43, ONEOFF, Severity = 1, 林火, Center at: (63 - 76), Tiles Damaged = 0
43, ONEOFF, Severity = 1, 林火, Center at: (63 - 75), Tiles Damaged = 0
43, ONEOFF, Severity = 1, 林火, Center at: (64 - 76), Tiles Damaged = 0
43, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 1, 87, 34, 0
